"DateTime","Spot"
"08:00:00",NA
"08:00:01",6743.93994140625
"08:00:02",6743.93994140625
"08:00:03",6743.93994140625
"08:00:04",6744.77978515625
"08:00:05",6745.72021484375
"08:00:06",6745.52001953125
"08:00:07",6747.60986328125
"08:00:08",6748.81982421875
"08:00:09",6749.3701171875
"08:00:10",6749.33984375
"08:00:11",6750.85986328125
"08:00:12",6750.77978515625
"08:00:13",6751
"08:00:14",6752.60986328125
"08:00:15",6753.419921875
"08:00:16",6753.25
"08:00:17",6753.14990234375
"08:00:18",6753.419921875
"08:00:19",6753.75
"08:00:20",6753.93017578125
"08:00:21",6755.60986328125
"08:00:22",6755.52978515625
"08:00:23",6756.60009765625
"08:00:24",6760.1298828125
"08:00:25",6760.3798828125
"08:00:26",6757.580078125
"08:00:27",6756.85986328125
"08:00:28",6757.27001953125
"08:00:29",6756.83984375
"08:00:30",6758.60009765625
"08:00:31",6758.8701171875
"08:00:32",6758.77978515625
"08:00:33",6758.8701171875
"08:00:34",6759.02978515625
"08:00:35",6759.25
"08:00:36",6758.52001953125
"08:00:37",6758.6298828125
"08:00:38",6758.77001953125
"08:00:39",6759.8798828125
"08:00:40",6760.27978515625
"08:00:41",6760.5
"08:00:42",6760.56005859375
"08:00:43",6759.7900390625
"08:00:44",6759.56982421875
"08:00:45",6759.68017578125
"08:00:46",6759.39013671875
"08:00:47",6760.14990234375
"08:00:48",6760.1201171875
"08:00:49",6759.43017578125
"08:00:50",6759.3798828125
"08:00:51",6759.22998046875
"08:00:52",6759.02978515625
"08:00:53",6759.0498046875
"08:00:54",6759.18994140625
"08:00:55",6759.58984375
"08:00:56",6759.89013671875
"08:00:57",6759.77001953125
"08:00:58",6759.7900390625
"08:00:59",6759.919921875
"08:01:00",6760.5
"08:01:01",6760.509765625
"08:01:02",6760.169921875
"08:01:03",6760.5498046875
"08:01:04",6760.35009765625
"08:01:05",6760.6201171875
"08:01:06",6760.4501953125
"08:01:07",6761.1298828125
"08:01:08",6761.72998046875
"08:01:09",6761.740234375
"08:01:10",6761.759765625
"08:01:11",6761.4599609375
"08:01:12",6761.1298828125
"08:01:13",6761.14013671875
"08:01:14",6760.490234375
"08:01:15",6760.06005859375
"08:01:16",6760.91015625
"08:01:17",6760.259765625
"08:01:18",6759.93017578125
"08:01:19",6759.39990234375
"08:01:20",6760.10009765625
"08:01:21",6759.259765625
"08:01:22",6758.97998046875
"08:01:23",6758.68994140625
"08:01:24",6757.83984375
"08:01:25",6757.85009765625
"08:01:26",6757.47998046875
"08:01:27",6757.419921875
"08:01:28",6756.39013671875
"08:01:29",6756.56005859375
"08:01:30",6756.47021484375
"08:01:31",6756.259765625
"08:01:32",6756.1201171875
"08:01:33",6756.490234375
"08:01:34",6756.7900390625
"08:01:35",6756.81982421875
"08:01:36",6756.91015625
"08:01:37",6756.77978515625
"08:01:38",6756.47998046875
"08:01:39",6756.33984375
"08:01:40",6756.35986328125
"08:01:41",6756.3701171875
"08:01:42",6756.52978515625
"08:01:43",6756.5
"08:01:44",6756.419921875
"08:01:45",6756.52978515625
"08:01:46",6756.41015625
"08:01:47",6756.4599609375
"08:01:48",6756.39013671875
"08:01:49",6756.580078125
"08:01:50",6756.740234375
"08:01:51",6757.0400390625
"08:01:52",6757.14990234375
"08:01:53",6757.10986328125
"08:01:54",6757.41015625
"08:01:55",6757.330078125
"08:01:56",6756.759765625
"08:01:57",6756.08984375
"08:01:58",6756.08984375
"08:01:59",6755.68994140625
"08:02:00",6755.8701171875
"08:02:01",6756.009765625
"08:02:02",6755.7900390625
"08:02:03",6755.7998046875
"08:02:04",6755.85986328125
"08:02:05",6755.580078125
"08:02:06",6755.47998046875
"08:02:07",6755.52001953125
"08:02:08",6755.58984375
"08:02:09",6755.33984375
"08:02:10",6755.33984375
"08:02:11",6755.18017578125
"08:02:12",6755.14013671875
"08:02:13",6755.02001953125
"08:02:14",6755.02978515625
"08:02:15",6755.240234375
"08:02:16",6755.06982421875
"08:02:17",6755.06005859375
"08:02:18",6755.259765625
"08:02:19",6755.2998046875
"08:02:20",6755.2998046875
"08:02:21",6755.31005859375
"08:02:22",6755.31005859375
"08:02:23",6755.18994140625
"08:02:24",6755.169921875
"08:02:25",6755.0400390625
"08:02:26",6755.0400390625
"08:02:27",6755.2900390625
"08:02:28",6755.1201171875
